"x"	"family"	"TRY30_PhylogeneticGroup.y"	"P50"
"10944"	"Zuelania guidonia"	"Salicaceae"	"Angiosperm"	-3.21
"10952"	"Zygia racemosa"	"Leguminosae"	"Angiosperm"	-3.56
"10953"	"Zygia ramiflora"	"Leguminosae"	"Angiosperm"	-1.76
"10954"	"Zygogynum acsmithii"	"Winteraceae"	"Angiosperm"	-2.73
"10955"	"Zygogynum baillonii"	"Winteraceae"	"Angiosperm"	-3
"10956"	"Zygogynum crassifolium"	"Winteraceae"	"Angiosperm"	-4.325
"10957"	"Zygogynum pancheri"	"Winteraceae"	"Angiosperm"	-5.2
"10958"	"Zygogynum pomiferum"	"Winteraceae"	"Angiosperm"	-3.45
"10959"	"Zygogynum queenslandianum"	"Winteraceae"	"Angiosperm"	-3.6
"10960"	"Zygogynum semecarpoides"	"Winteraceae"	"Angiosperm"	-3.27
"10961"	"Zygogynum tieghemii"	"Winteraceae"	"Angiosperm"	-2.29
